aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,12/14/2016,33.553056,-86.815,10.7,,6.8
01-073-0023,12/17/2016,33.553056,-86.815,14.8,,9.6
01-073-0023,12/20/2016,33.553056,-86.815,4.2,,12.5
01-073-0023,12/23/2016,33.553056,-86.815,11,,10.8
01-073-0023,12/26/2016,33.553056,-86.815,20.5,,8.9
01-073-0023,12/29/2016,33.553056,-86.815,15.2,,3.4
01-073-0023,1/1/2017,33.553056,-86.815,12.4,,4.1
01-073-0023,1/4/2017,33.553056,-86.815,10,,6.8
01-073-0023,1/7/2017,33.553056,-86.815,-4.6,,8.5
01-073-0023,1/10/2017,33.553056,-86.815,9,,12.1
01-073-0023,1/13/2017,33.553056,-86.815,19.5,,7.6
01-073-0023,1/16/2017,33.553056,-86.815,16.3,0,13.4
01-073-0023,1/19/2017,33.553056,-86.815,16.4,,6.3
01-073-0023,1/22/2017,33.553056,-86.815,14.9,,3.4
01-073-0023,1/25/2017,33.553056,-86.815,14.3,,6.9
01-073-0023,1/28/2017,33.553056,-86.815,5.1,,3.8
01-073-0023,2/3/2017,33.553056,-86.815,7,,4.5
01-073-0023,2/6/2017,33.553056,-86.815,12.5,,11.3
01-073-0023,2/9/2017,33.553056,-86.815,10.4,,4.2
01-073-0023,2/12/2017,33.553056,-86.815,20.7,,11.8
01-073-0023,3/23/2017,33.553056,-86.815,17,,20.7
01-073-0023,3/26/2017,33.553056,-86.815,18.1,,7.1
01-073-0023,3/29/2017,33.553056,-86.815,22.4,,12
01-073-0023,4/1/2017,33.553056,-86.815,17.4,,6.6
01-073-0023,4/4/2017,33.553056,-86.815,21.3,,7.7
01-073-0023,4/7/2017,33.553056,-86.815,13.4,,4.3
01-073-0023,4/10/2017,33.553056,-86.815,20,,11.4
01-073-0023,4/13/2017,33.553056,-86.815,21.8,,17.8
01-073-0023,4/16/2017,33.553056,-86.815,22.5,,6.6
01-073-0023,4/19/2017,33.553056,-86.815,23.7,,17.3
01-073-0023,4/22/2017,33.553056,-86.815,24,,7.7
01-073-0023,4/25/2017,33.553056,-86.815,18.4,,5.8
01-073-0023,4/28/2017,,-86.815,23.3,,15.1
01-073-0023,5/1/2017,33.553056,-86.815,20.4,,4.5
01-073-0023,5/4/2017,33.553056,-86.815,18.4,,2.5
01-073-0023,5/7/2017,33.553056,-86.815,18.3,,7.4
01-073-0023,5/10/2017,33.553056,-86.815,24,,18.8
01-073-0023,5/13/2017,33.553056,-86.815,21.1,,7.4
01-073-0023,5/16/2017,33.553056,-86.815,24.7,0,18.1
01-073-0023,5/19/2017,33.553056,-86.815,27.4,,10.5
01-073-0023,5/22/2017,33.553056,-86.815,23,,9.1
01-073-0023,5/25/2017,33.553056,-86.815,16.9,,4.5
01-073-0023,5/28/2017,33.553056,-86.815,24.8,,6.2
01-073-0023,5/31/2017,33.553056,-86.815,24.2,,13.3
01-073-0023,6/3/2017,33.553056,-86.815,24.3,,11
01-073-0023,6/6/2017,33.553056,-86.815,22.5,,5.3
01-073-0023,6/9/2017,33.553056,-86.815,22.4,,9.7
01-073-0023,6/12/2017,33.553056,-86.815,27.5,,6
01-073-0023,6/15/2017,33.553056,-86.815,26,,9.6
01-073-0023,6/18/2017,33.553056,-86.815,26.3,,5.4
01-073-0023,6/21/2017,33.553056,-86.815,23.2,,4.7
01-073-0023,6/24/2017,33.553056,-86.815,24.8,,6.2
01-073-0023,6/27/2017,33.553056,-86.815,24.5,,11.3
01-073-0023,6/30/2017,33.553056,-86.815,24.7,,7.6
01-073-0023,7/3/2017,33.553056,-86.815,27.3,,15.1
01-073-0023,7/6/2017,33.553056,-86.815,26.9,,6.8
01-073-0023,7/9/2017,33.553056,-86.815,27.1,,9.6
01-073-0023,7/12/2017,33.553056,-86.815,26.7,,7.9
01-073-0023,7/15/2017,33.553056,-86.815,25.4,,12.2
01-073-0023,7/18/2017,33.553056,-86.815,26.9,,10.8
